Tenor,USA,EUR,JPN,GBR,CAN,AUS,NZL,SWE,CHN,IND,KOR,TLD,TUR,RUS,PLD,CZK,HUN,BRZ,MEX,CHI,COL,SAF,IDR,PHP
3m,USSOC,EUSWEC,JYSOC,BPSWSC,CDSOC,ADSOC,NDSOC,SKSWTNC,CCSWNIC,IRSWOC,KWSWC,THFX3M,TYUSSWC,MOSKP3,WIBO3M,CKSWC,HFSWC,PREDI90,MPSWC,CHSWPC,CLSWIBC,JIBA3M,IHSWOOC,PPSWOC
1yr,USSO1,EUSWE1,JYSO1,BPSWS1,CDSO1,ADSO1,NDSO1,SKSWTN1,CCSWNI1,IRSWO1,KWSWO1,TBSWO1,TYUSSW1,RRSWM1,PZSW1,CKSW1,HFSW1,PREDI360,mpsw1a,CHSWP1,CLSWIB1,SASW1,IHSWOO1,PPSWO1
2yr,USSO2,EUSWE2,JYSO2,BPSWS2,CDSO2,ADSO2,NDSO2,SKSWTN2,CCSWNI2,IRSWO2,KWSWO2,TBSWO2,TYUSSW2,RRSWM2,PZSW2,CKSW2,HFSW2,PREDI720,mpsw2b,CHSWP2,CLSWIB2,SASW2,IHSWOO2,PPSWO2
3yr,USSO3,EUSWE3,JYSO3,BPSWS3,CDSO3,ADSO3,NDSO3,SKSWTN3,CCSWNI3,IRSWO3,KWSWO3,TBSWO3,TYUSSW3,RRSWM3,PZSW3,CKSW3,HFSW3,PRDI1080,mpsw3c,CHSWP3,CLSWIB3,SASW3,IHSWOO3,PPSWO3
4yr,USSO4,EUSWE4,JYSO4,BPSWS4,CDSO4,ADSO4,NDSO4,SKSWTN4,CCSWNI4,IRSWO4,KWSWO4,TBSWO4,TYUSSW4,RRSWM4,PZSW4,CKSW4,HFSW4,PRDI1440,mpsw4d,CHSWP4,CLSWIB4,SASW4,IHSWOO4,PPSWO4
5yr,USSO5,EUSWE5,JYSO5,BPSWS5,CDSO5,ADSO5,NDSO5,SKSWTN5,CCSWNI5,IRSWO5,KWSWO5,TBSWO5,TYUSSW5,RRSWM5,PZSW5,CKSW5,HFSW5,PRDI1800,mpsw5e,CHSWP5,CLSWIB5,SASW5,IHSWOO5,PPSWO5
6yr,USSO6,EUSWE6,JYSO6,BPSWS6,CDSO6,ADSO6,NDSO6,SKSWTN6,CCSWNI6,IRSWO6,KWSWO6,TBSWO6,TYUSSW6,RRSWM6,PZSW6,CKSW6,HFSW6,PRDI2160,mpsw6,CHSWP6,CLSWIB6,SASW6,IHSWOO6,PPSWO6
7yr,USSO7,EUSWE7,JYSO7,BPSWS7,CDSO7,ADSO7,NDSO7,SKSWTN7,CCSWNI7,IRSWO7,KWSWO7,TBSWO7,TYUSSW7,RRSWM7,PZSW7,CKSW7,HFSW7,PRDI2520,mpsw7g,CHSWP7,CLSWIB7,SASW7,IHSWOO7,PPSWO7
8yr,USSO8,EUSWE8,JYSO8,BPSWS8,CDSO8,ADSO8,NDSO8,SKSWTN8,CCSWNI8,IRSWO8,KWSWO8,TBSWO8,TYUSSW8,RRSWM8,PZSW8,CKSW8,HFSW8,PRDI2880,mpsw8,CHSWP8,CLSWIB8,SASW8,IHSWOO8,PPSWO8
9yr,USSO9,EUSWE9,JYSO9,BPSWS9,CDSO9,ADSO9,NDSO9,SKSWTN9,CCSWNI9,IRSWO9,KWSWO9,TBSWO9,TYUSSW9,RRSWM9,PZSW9,CKSW9,HFSW9,PRDI3240,mpsw9,CHSWP9,CLSWIB9,SASW9,IHSWOO9,PPSWO9
10yr,USSO10,EUSWE10,JYSO10,BPSWS10,CDSO10,ADSO10,NDSO10,SKSWTN10,CCSWNI10,IRSWO10,KWSWO10,TBSWO10,TYUSSW10,RRSWM10,PZSW10,CKSW10,HFSW10,PRDI3600,mpsw10k,CHSWP10,CLSWIB10,SASW10,IHSWOO10,PPSWOC10
